Model,domain,feature,importance,taxonomic_level
XGBoost,Bacteria,BAC_O::Bryobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::C10-SB1A,0.0,Order
XGBoost,Bacteria,BAC_O::CCM19a,0.0,Order
XGBoost,Bacteria,BAC_O::Caldilineales,0.0,Order
XGBoost,Bacteria,BAC_O::Caldisericales,0.0,Order
XGBoost,Bacteria,BAC_O::Campylobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Candidatus_Falkowbacteria,0.0,Order
XGBoost,Bacteria,BAC_O::Candidatus_Peregrinibacteria,0.0,Order
XGBoost,Bacteria,BAC_O::Candidatus_Shapirobacteria,0.0,Order
XGBoost,Bacteria,BAC_O::Cardiobacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Caulobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Cellvibrionales,0.0,Order
XGBoost,Bacteria,BAC_O::Chlamydiales,0.0,Order
XGBoost,Bacteria,BAC_O::Chthoniobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Clostridia_UCG-014,0.0,Order
XGBoost,Bacteria,BAC_O::Competibacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Coprothermobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Corynebacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Defluviicoccales,0.0,Order
XGBoost,Bacteria,BAC_O::Deinococcales,0.0,Order
XGBoost,Bacteria,BAC_O::Desulfitibacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Desulfitobacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Desulfobulbales,0.0,Order
XGBoost,Bacteria,BAC_O::Desulfotomaculales,0.0,Order
XGBoost,Bacteria,BAC_O::Desulfuromonadia,0.0,Order
XGBoost,Bacteria,BAC_O::Diplorickettsiales,0.0,Order
XGBoost,Bacteria,BAC_O::Dongiales,0.0,Order
XGBoost,Bacteria,BAC_O::Ectothiorhodospirales,0.0,Order
XGBoost,Bacteria,BAC_O::Elsterales,0.0,Order
XGBoost,Bacteria,BAC_O::Enterobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Fermentibacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Fibrobacterales,0.0,Order
XGBoost,Bacteria,BAC_O::Fimbriimonadales,0.0,Order
XGBoost,Bacteria,BAC_O::Flavobacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Frankiales,0.0,Order
XGBoost,Bacteria,BAC_O::Fusobacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Gaiellales,0.0,Order
XGBoost,Bacteria,BAC_O::Gammaproteobacteria_Incertae_Sedis,0.0,Order
XGBoost,Bacteria,BAC_O::Gemmatales,0.0,Order
XGBoost,Bacteria,BAC_O::Gemmatimonadales,0.0,Order
XGBoost,Bacteria,BAC_O::HOC36,0.0,Order
XGBoost,Bacteria,BAC_O::Halanaerobiales,0.0,Order
XGBoost,Bacteria,BAC_O::Haliangiales,0.0,Order
XGBoost,Bacteria,BAC_O::Holophagales,0.0,Order
XGBoost,Bacteria,BAC_O::Hydrogenedentiales,0.0,Order
XGBoost,Bacteria,BAC_O::Hydrothermae,0.0,Order
XGBoost,Bacteria,BAC_O::IMCC26256,0.0,Order
XGBoost,Bacteria,BAC_O::Ignavibacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Isosphaerales,0.0,Order
XGBoost,Bacteria,BAC_O::JG36-GS-52,0.0,Order
XGBoost,Bacteria,BAC_O::Kapabacteriales,0.0,Order
XGBoost,Bacteria,BAC_O::Kosmotogales,0.0,Order
XGBoost,Bacteria,BAC_O::LD1-PA32,0.0,Order
XGBoost,Bacteria,BAC_O::LD1-PB3,0.0,Order
XGBoost,Bacteria,BAC_O::Limnochordia,0.0,Order
XGBoost,Bacteria,BAC_O::MAT-CR-H4-C10,0.0,Order
XGBoost,Bacteria,BAC_O::MSBL9,0.0,Order
XGBoost,Bacteria,BAC_O::MVP-15,0.0,Order
XGBoost,Bacteria,BAC_O::Methylococcales,0.0,Order
