fold,block,feature,training_samples_above_0_1_percent
1,BAC_F,BAC_F::Enterococcaceae,1
1,BAC_F,BAC_F::Erwiniaceae,3
1,BAC_F,BAC_F::Erysipelatoclostridiaceae,15
1,BAC_F,BAC_F::Erysipelotrichaceae,4
1,BAC_F,BAC_F::Eubacteriaceae,4
1,BAC_F,BAC_F::F082,4
1,BAC_F,BAC_F::FTLpost3,5
1,BAC_F,BAC_F::Fermentibacteraceae,5
1,BAC_F,BAC_F::Fervidobacteriaceae,6
1,BAC_F,BAC_F::Fibrobacteraceae,4
1,BAC_F,BAC_F::Fibrobacterales,2
1,BAC_F,BAC_F::Fimbriimonadaceae,10
1,BAC_F,BAC_F::Flavobacteriaceae,4
1,BAC_F,BAC_F::Fusibacteraceae,3
1,BAC_F,BAC_F::Fusobacteriaceae,1
1,BAC_F,BAC_F::GZKB124,2
1,BAC_F,BAC_F::GZKB75,9
1,BAC_F,BAC_F::Gallionellaceae,0
1,BAC_F,BAC_F::Garciellaceae,9
1,BAC_F,BAC_F::Gemmataceae,19
1,BAC_F,BAC_F::Gemmatimonadaceae,9
1,BAC_F,BAC_F::Geobacteraceae,1
1,BAC_F,BAC_F::Gracilibacteraceae,53
1,BAC_F,BAC_F::HOC36,1
1,BAC_F,BAC_F::Hahellaceae,0
1,BAC_F,BAC_F::Halanaerobiaceae,2
1,BAC_F,BAC_F::Haliangiaceae,2
1,BAC_F,BAC_F::Halomonadaceae,0
1,BAC_F,BAC_F::Holophagaceae,4
1,BAC_F,BAC_F::Hungateiclostridiaceae,83
1,BAC_F,BAC_F::Hydrogenedensaceae,35
1,BAC_F,BAC_F::Hydrogenophilaceae,8
1,BAC_F,BAC_F::Hydrothermae,1
1,BAC_F,BAC_F::Hyphomicrobiaceae,23
1,BAC_F,BAC_F::Hyphomonadaceae,21
1,BAC_F,BAC_F::IMCC26256,2
1,BAC_F,BAC_F::Iamiaceae,3
1,BAC_F,BAC_F::Ignavibacteriaceae,4
1,BAC_F,BAC_F::Ilumatobacteraceae,1
1,BAC_F,BAC_F::Incertae_Sedis,24
1,BAC_F,BAC_F::Intrasporangiaceae,32
1,BAC_F,BAC_F::Isosphaeraceae,6
1,BAC_F,BAC_F::Izemoplasmataceae,2
1,BAC_F,BAC_F::Izemoplasmatales,37
1,BAC_F,BAC_F::JG36-GS-52,2
1,BAC_F,BAC_F::JS1,38
1,BAC_F,BAC_F::KCLunmb-38-53,9
1,BAC_F,BAC_F::KD1-131,0
1,BAC_F,BAC_F::KD4-96,0
1,BAC_F,BAC_F::Kapabacteriales,20
1,BAC_F,BAC_F::Kosmotogaceae,26
1,BAC_F,BAC_F::LCP-89,0
1,BAC_F,BAC_F::LD1-PA32,11
1,BAC_F,BAC_F::LD1-PB3,19
1,BAC_F,BAC_F::LF045,13
1,BAC_F,BAC_F::LWQ8,0
1,BAC_F,BAC_F::Lachnospiraceae,68
1,BAC_F,BAC_F::Lactobacillaceae,30
1,BAC_F,BAC_F::Latescibacteraceae,0
1,BAC_F,BAC_F::Latescibacterota,0
1,BAC_F,BAC_F::Leeiaceae,1
1,BAC_F,BAC_F::Legionellaceae,0
1,BAC_F,BAC_F::Lenti-02,0
1,BAC_F,BAC_F::Lentimicrobiaceae,68
1,BAC_F,BAC_F::Leptospiraceae,34
1,BAC_F,BAC_F::Leptotrichiaceae,10
1,BAC_F,BAC_F::Leuconostocaceae,8
1,BAC_F,BAC_F::LiUU-11-161,0
1,BAC_F,BAC_F::Limnochordaceae,2
1,BAC_F,BAC_F::Limnochordia,6
1,BAC_F,BAC_F::Lineage_IV,0
1,BAC_F,BAC_F::M55-D21,7
1,BAC_F,BAC_F::MAT-CR-H4-C10,2
1,BAC_F,BAC_F::MBA03,43
1,BAC_F,BAC_F::MBNT15,0
